,dtype
Name,object
Sex,category
Event,category
Equipment,category
Age,float64
BirthYearClass,category
Division,category
BodyweightKg,float64
WeightClassKg,category
Squat1Kg,float64
Squat2Kg,float64
Squat3Kg,float64
Best3SquatKg,float64
Bench1Kg,float64
Bench2Kg,float64
Bench3Kg,float64
Best3BenchKg,float64
Deadlift1Kg,float64
Deadlift2Kg,float64
Deadlift3Kg,float64
Best3DeadliftKg,float64
TotalKg,float64
Place,category
Dots,float64
Wilks,float64
Goodlift,float64
home_division,category
Federation,category
Date,datetime64[ns]
MeetTown,object
MeetName,object
